GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NivelesInstituto,es.uma.informatica.practica3.dtos,UsuarioDTO.UsuarioDTOBuilder,18,0,0,0,1,0,4,0,4,0
NivelesInstituto,es.uma.informatica.practica3.dtos,UsuarioDTO,24,0,0,0,6,0,6,0,6,0
NivelesInstituto,es.uma.informatica.practica3.dtos,DietaDTO.DietaDTOBuilder,9,9,0,0,0,1,2,2,2,2
NivelesInstituto,es.uma.informatica.practica3.dtos,DietaNuevaDTO.DietaNuevaDTOBuilder,73,0,0,0,1,0,10,0,10,0
NivelesInstituto,es.uma.informatica.practica3.dtos,DietaDTO,4,20,0,0,1,5,1,5,1,5
NivelesInstituto,es.uma.informatica.practica3.dtos,DietaNuevaDTO,344,0,62,0,13,0,52,0,21,0
NivelesInstituto,es.uma.informatica.practica3.entities,Dieta.DietaBuilder,101,0,0,0,1,0,13,0,13,0
NivelesInstituto,es.uma.informatica.practica3.entities,Dieta,471,3,86,0,15,1,69,1,26,1
NivelesInstituto,es.uma.informatica.practica3.security,SecurityConfguration,10,40,0,0,2,11,2,6,2,6
NivelesInstituto,es.uma.informatica.practica3.security,JwtRequestFilter,19,82,5,5,6,20,5,2,0,2
NivelesInstituto,es.uma.informatica.practica3.security,JwtUtil,19,91,4,0,2,18,3,8,1,8
NivelesInstituto,es.uma.informatica.practica3.services,DietaService,46,11,0,0,12,4,6,2,6,2
NivelesInstituto,es.uma.informatica.practica3,Practica3Application,5,3,0,0,2,1,1,1,1,1
NivelesInstituto,es.uma.informatica.practica3.exceptions,TokenNoValidoException,3,0,0,0,1,0,1,0,1,0
NivelesInstituto,es.uma.informatica.practica3.exceptions,DietaNoExisteException,0,3,0,0,0,2,0,1,0,1
NivelesInstituto,es.uma.informatica.practica3.controllers,GestionDietas,134,23,10,0,26,7,13,5,8,5
NivelesInstituto,es.uma.informatica.practica3.controllers,Mapper,36,3,0,0,15,1,3,1,3,1
